ID	DEPTH	ModFinal	Degree	Indagain0.6
1511	1.295510353	1	2	0
717	1.983096349	1	6	1
2416	2.096514382	1	46	1
854	2.511964612	1	4	0
2116	3.054649005	1	7	0
34	3.363061111	1	2	0
1298	3.427663617	1	10	0
2340	3.697565387	1	16	1
120	3.708372493	1	20	1
2599	3.798053718	1	2	2
2142	3.898221572	1	23	1
1891	3.963442455	1	1	0
2428	4.003513902	1	27	1
300	4.236084952	1	15	0
656	4.304440185	1	10	1
2481	4.397074237	1	7	1
94	4.453505691	1	1	1
2505	4.511054699	1	10	2
2274	4.647875447	1	1	2
1454	5.176633475	1	7	1
2023	5.269833487	1	2	0
1473	5.510231615	1	20	2
1791	5.579353586	1	7	0
1108	5.85029862	1	11	2
1673	5.943316043	1	42	0
1732	6.004481667	1	18	1
2053	6.005609156	1	1	0
2123	6.227658513	1	28	0
2224	6.391489627	1	1	0
1016	6.778414598	1	7	0
329	6.804906304	1	13	2
2264	6.844391656	1	3	0
1630	6.870237387	1	7	0
1960	6.911842977	1	13	0
855	6.956050963	1	18	2
1650	7.042659054	1	18	0
1584	7.04699377	1	28	1
2439	7.2165676	1	5	0
650	7.347311043	1	6	0
1009	7.384455978	1	1	0
1820	7.396650895	1	49	2
1385	7.529961948	1	11	0
1780	7.610893398	1	1	0
1095	7.947488501	1	21	0
2517	7.97382798	1	9	0
1119	7.993697264	1	43	0
1552	8.252917415	1	17	0
2227	8.258112716	1	31	0
1636	8.483560092	1	8	0
12	8.657337173	1	7	0
2281	8.661468901	1	17	0
975	8.740331367	1	6	0
404	8.825409242	1	53	2
1755	9.016181555	1	4	0
673	9.191164753	1	2	0
1208	9.299553807	1	4	0
47	9.477003014	1	10	0
1375	9.715127387	1	2	0
538	9.733386524	1	43	0
1611	9.737379177	1	46	2
2372	10.09117218	1	12	1
662	10.28060018	1	10	0
490	10.34124115	1	6	0
873	10.36671952	1	3	0
677	10.67671424	1	8	1
937	10.7050354	1	10	2
2581	11.1618445	1	1	0
208	11.47476641	1	10	0
2196	11.51050433	1	3	0
230	11.72903768	1	3	0
114	11.77826538	1	2	0
2069	11.87515348	1	1	0
340	11.90417635	1	1	0
1295	12.06375629	1	33	0
2037	12.42120661	1	5	0
1548	13.01109638	1	21	2
1486	13.01741222	1	1	0
1744	13.15736134	1	23	0
2061	13.36204521	1	1	0
926	13.80395206	1	4	0
317	14.11186064	1	1	0
1966	14.3189893	1	1	0
1995	14.95646187	1	4	0
1994	15.40223667	1	28	0
714	15.83941885	1	1	0
1989	15.86471269	1	2	0
394	16.22003417	1	2	0
149	19.92749384	1	5	0
377	20.97688058	1	1	0
917	21.37323177	1	6	3
639	21.66172853	1	7	0
526	21.68901873	1	7	0
1256	22.44457861	1	1	0
1156	22.94225832	1	2	0
2611	23.01807604	1	1	0
2444	23.64175443	1	8	0
844	23.65291588	1	8	0
1513	23.82104538	1	6	0
2353	24.00959438	1	7	0
1899	24.07867869	1	1	0
838	24.23977963	1	5	0
2591	24.77293664	1	5	4
2435	25.09122925	1	3	0
2436	25.46771899	1	8	0
944	25.85931058	1	10	4
1172	25.86211665	1	1	0
1802	25.89493206	1	1	0
2358	25.90120297	1	19	4
1062	26.4487348	1	2	0
